ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Ty Johnson, 29476194, P
Adam Weisenburger, 2034700, C|UT
Dominic Hamel, 26911799, P
Blair Henley, 26615458, P
Zack Bird, 2044501, P
Alejandro Salazar, 3094343, SS|UT
Ricky Salinas, 28838306, P
Vince Vannelle, 29086144, P
Bernie Martinez, 3158104, P
Brendan Jones, 29675417, OF|UT
Matt Frisbee, 2932747, P
Dustin Martin, 1208664, OF|UT
Jeff McVaney, 2044755, OF|UT
Jayson Schroeder, 2932049, P
Tanner Allen, 2836534, OF|UT
Lazaro Montes, 28839808, OF|UT
Cole Peterson, 2837344, SS|UT
Brandon Bayardi, 2227124, OF|UT
Ben Krauth, 3095383, P
Starlyn Caba, 29321904, SS|UT
Marten Gasparini, 2211769, SS|UT
Elvis Peralta, 28842425, SS|UT
Clark Elliott, 29075505, OF|UT
Emanuel Andrews, 29342219, OF|UT
Jameson Hannah, 2931962, OF|UT
Daiwer Castellanos, 28846846, OF|UT
Ryan Smith, 26911791, P
Logan Cozart, 3103746, P
Josh Hejka, 29688606, P
Justin Seager, 2791770, 1B|UT
Logan Farrar, 2836858, OF|UT
Carter Graham, 29689593, 1B|UT
Alexander Alvarez, 2821198, C|UT
Kevin Garcia, 2171327, OF|UT
Luis Mieses, 2829077, OF|UT
Simon Muzziotti, 2824616, OF|UT
Tyler Payne, 3103876, C|UT
Luke Albright, 29084600, P
Melvin Novoa, 3107593, C|UT
Nicholas Economos, 3157918, P
Randy Cesar, 2791369, 3B|UT
Bralin Jackson, 2121270, OF|UT
Tyler Krieger, 2226659, 3B|UT
Raymond Burgos, 29081045, P
Payton Green, 29679116, SS|UT
Neyfy Castillo, 28837124, 1B|UT
Michael Beltre, 2804512, OF|UT
Ryan Horstman, 2226607, P
Cory Thompson, 28840628, SS|UT
Fidel Montero, 26913044, OF|UT
CJ Alexander, 2932591, 3B|UT
Calvin Ziegler, 26911737, P
Steven Jennings, 2910642, P
David Sheaffer, 28843225, C|UT
Billy Fleming, 2228456, 2B|UT
Grant Witherspoon, 2933207, OF|UT
Eli Saul, 29349516, P
Tommy Sacco, 29089441, SS|UT
Johnny Rizer, 28838071, OF|UT
Jimmy Pickens, 2169693, OF|UT
Braylen Wimmer, 29676025, SS|UT
Tanner Hall, 29321943, P
Josh Tobias, 2211807, 2B|UT
Juan De Paula, 2910631, P
Tyler Jones, 2504133, P
Grayson Hitt, 29321949, P
Granden Goetzman, 2121453, OF|UT
Patrick Leonard, 2121871, 1B|UT
Ike Schlabach, 3158355, P
Colton Johnson, 29687795, P
Kevin Merrell, 2837224, SS|UT
Nash Walters, 28838072, P
Fernando Perez, 29660684, P
Reece Walling, 29086103, OF|UT
Kyle Hansen, 2121517, P
Jordan Cooper, 2169652, P
Iker Franco, 392224, C|UT
Braxton Martinez, 28837790, 3B|UT
Leonardo Balcazar, 26913003, SS|UT
Julian Leon, 2167337, C|UT
Chris Vallimont, 2933153, P
Carson Roccaforte, 29295916, OF|UT
Luke Berryhill, 28838045, C|UT
Devyn Bolasky, 2821609, OF|UT
Owen Murphy, 28920023, P
Seth Harrison, 2223949, OF|UT
Frederick Bencosme, 29077610, SS|UT
Michael Mariot, 1961062, P
Dennis Ortega, 2699272, C|UT
Ben Peoples, 29644519, P
Javier Mogollon, 29662446, SS|UT
Nathan Bates, 2918677, P
Cooper Kinney, 26719712, 2B|UT
Antonio Pinero, 2910615, SS|UT
Xavier Martinez, 29688610, P
Will Roberts, 2121445, P
Nova Valdez, 1669890, 3B|UT
Kevin Made, 26913009, SS|UT
Michael Tinsley, 2921540, C|UT
Packy Naughton, 2837281, P
Chad Johnson, 2226898, C|UT
Levi Hyams, 2227478, 1B|UT
Josh Hartle, 29662250, P
Jaquez Williams, 2921622, 1B|UT
Daniel Susac, 28920022, C|UT
Nonie Williams, 2507190, SS|UT
Rodrigo Orozco, 2824782, OF|UT
Dwanya Williams-Sutton, 2933199, OF|UT
Ronaldo Hernandez, 3077688, C|UT
Euribiel Angeles, 26913002, SS|UT
Miguel Nunez, 2739974, P
Brady Smith, 29322025, P
Brady McConnell, 2837197, SS|UT
Matt Kennelly, 1663603, C|UT
Carlos Paulino, 2042457, C|UT
Jose Baez, 29087645, SS|UT
Brooks Crawford, 29086087, P
Nolan Sanburn, 2044510, P
Cam Collier, 28920021, 3B|UT
Jace Bohrofen, 29321894, OF|UT
Guillermo Zuniga, 28838310, P
Cody Bohanek, 2836619, SS|UT
Jose Olivares, 29660658, P
Thayron Liranzo, 29321975, C|UT
Daniel Brito, 2507346, 2B|UT
Mack Chambers, 28841680, SS|UT
Marco Carrillo, 1940756, P
Jose Guzman, 28842606, SS|UT
Robert Gonzalez, 29086101, OF|UT
Jake Anchia, 2932265, C|UT
Brailer Guerrero, 29321942, OF|UT
Lazaro Estrada, 29668947, P
Antonio Jimenez, 29342287, P
Luis Guanipa, 29321941, OF|UT
JJ Schwarz, 29086102, C|UT
Yohendry Sanchez, 29662455, C|UT
Tyler Santana, 29342338, P
Junior Santos, 26615425, P
Quintin Torres-Costa, 2915606, P
Manny Sanchez, 2803763, OF|UT
Luis Palacios, 2829929, P
Beau Brewer, 29084369, 3B|UT
Matt Oberste, 2766202, 1B|UT
Beyker Pastran, 28847205, SS|UT
Theo Gillen, 29426047, OF|UT
Shawon Dunston, 2050498, OF|UT
Gabriel Cancel, 2921435, 2B|UT
Beau Brundage, 28842388, SS|UT
Christopher Bec, 2932275, C|UT
Jonah Arenado, 2227779, 3B|UT
Michael Sandle, 28837566, OF|UT
Tyson Neighbors, 29644487, P
Miguel Mejia, 2225421, P
Terance Marin, 2171880, P
Jeremy Fitzgerald, 3103650, P
Diogenes Almengo, 3094345, P
Zach Borenstein, 2050738, OF|UT
Ian Bedell, 26615438, P
J.D. McLaughlin, 29342415, OF|UT
Jonathan Guzman, 2823188, SS|UT
Jon Matthews, 2227632, OF|UT
Ryder Green, 2932781, OF|UT
Garrett Wolforth, 28842611, C|UT
Casey Cobb, 29086116, P
Eddinson Paulino, 28840187, 3B|UT
Wilfredo Rodriguez, 2798059, C|UT
Zane Morehouse, 29675798, P
Willy Vasquez, 26913016, 3B|UT
Arquimedes Gamboa, 3055540, SS|UT
Jhostynxon Garcia, 29089058, OF|UT
Bradley Markey, 2739964, P
Tyler Hardman, 2836963, 1B|UT
Brandon Sandoval, 2837461, OF|UT
John Rooney, 2933065, P
Aaron Brown, 29080206, P
Seth McGarry, 3094417, P
Dustin Houle, 2114646, C|UT
Rylan Bannon, 2836567, 2B|UT
Wilkin Ramos, 29342434, P
Miguel Eladio, 2822526, SS|UT
Justin Guerrera, 28841535, SS|UT
Steve Perakslis, 2049025, P
Marcos Torres, 29322038, OF|UT
Rodrigo Benoit, 3094353, P
Nazzan Zanetello, 29295909, SS|UT
Adam Shoemaker, 29066320, P
Andrew Sopko, 2826017, P
Willie Joe Garry Jr., 2932757, OF|UT
Erick Caripa, 29088926, OF|UT
Carlos Mendoza, 29085318, 3B|UT
Roberto Lopez, 1811745, UT
Bruce Caldwell, 2227772, 2B|UT
Mason Martin, 2837176, 1B|UT
Jean Carmona, 2828983, 2B|UT
Jesus Galiz, 26643917, C|UT
Nick Meyer, 2932937, C|UT
Michael Bienlien, 29342395, P
Stetson Allie, 1794703, P
Bruce Yari, 3107315, 1B|UT
Luis Vasquez, 3094399, P
Jerry Downs, 2915912, OF|UT
Carlos Tavera, 29671358, P
Jake Gelof, 29295901, 3B|UT
Kameron Esthay, 2836848, OF|UT
Cooper Adams, 29683705, P
London Lindley, 2227639, OF|UT
Blake Anderson, 2135268, C|UT
Justin Yeager, 28841195, P
Brandon Lewis, 3152040, 1B|UT
Morgan McSweeney, 28838886, P
Nestor Miranda, 29662385, 3B|UT
Yasser Mercedes, 29077687, OF|UT
JT Mabry, 29350509, 2B|UT
Sam Armstrong, 29676038, P
Michael Danielak, 2836778, P
Kevin Graham, 29084601, OF|UT
Chase Watkins, 29356650, P
Gerardo Reyes, 2228211, P
Alejandro Melean, 29077584, P
Ryan Nagle, 2227895, OF|UT
Mason Hickman, 29085158, P
Tyler Hill, 2449429, OF|UT
E.J. Exposito, 29089541, SS|UT
Kelvin Melean, 2824345, SS|UT
Kyler Fedko, 29085617, OF|UT
Danny Serretti, 29085925, 3B|UT
Ryan Brady, 29355926, P
Zach Davis, 3158171, OF|UT
Josh Breaux, 2836643, C|UT
Jose Carlos Urena, 2228198, OF|UT
Juan Mejia, 2835921, P
Spencer Mraz, 28838070, P
Nathaniel Hickey, 26911629, C|UT
Austin Drury, 3157939, P
Vinny Capra, 2932627, 3B|UT
Elian Rodriguez, 2851845, P
Yordy Cabrera, 1953419, P
Chris Seise, 2910613, SS|UT
Derek Miller, 2804018, OF|UT
Felix Reyes, 28843151, OF|UT
Caleb Baragar, 3152733, P
David Ledbetter, 2823819, P
Narbe Cruz, 29089440, SS|UT
Manuel Geraldo, 3103213, SS|UT
Rob Wort, 2228200, P
Gleider Figuereo, 29077612, 3B|UT
Cameron Cauley, 26911692, SS|UT
Claudio Finol, 2829336, 3B|UT
Matt Milroy, 2167935, P
Isaiah Greene, 26615366, OF|UT
Pablo Abreu, 2828950, OF|UT
Andrew Schultz, 28840614, P
Cody Scroggins, 29085047, P
Kevin Kendall, 29084142, SS|UT
Eric Torres, 28837792, P
Gabriel Garcia, 2506929, 3B|UT
Ethan Bagwell, 29644413, P
Michael Wagner, 2226044, P
Mike Boeve, 29295893, 3B|UT
Jordan McCants, 26911691, 2B|UT
Conrad Cason, 29644419, SS|UT
Geraldo Quintero, 29077611, OF|UT
Jeremiah Jackson, 2931972, SS|UT
Garrett Forrester, 29295899, 3B|UT
Wil Dalton, 28838953, OF|UT
Jhonny Pereda, 2825002, C|UT
Bryce Teodosio, 28837791, OF|UT
Luis Gastelum, 29662259, P
Justin Courtney, 29084141, P
Khristian Curtis, 29658248, P
Dahian Santos, 29077595, P
Erik Manoah, 28841683, P
Mac Horvath, 29295892, 3B|UT
Amaurys Minier, 2167501, OF|UT
Sam Antonacci, 29644412, 2B|UT
Angelo Castellano, 2788551, 3B|UT
Joey Rose, 2910607, 1B|UT
Eric Jagielo, 2066308, 1B|UT
Justin Crawford, 28920020, OF|UT
Colin McKee, 3158041, P
Sebastian Espino, 2829016, SS|UT
Daylen Lile, 26911693, OF|UT
Grant Hartwig, 29077613, P
Jarlin Susana, 29077619, P
Billy Amick, 29644411, 3B|UT
Matt Koperniak, 28841682, OF|UT
Xavier Casserilla, 29295891, 1B|UT
Reinier Roibal, 2209943, P
Ian Rice, 2803765, C|UT
Austin DeCarr, 2169520, P
Lucas Jacobsen, 28842584, P
Luis Torres, 29342358, 1B|UT
Zach Clark, 2921400, OF|UT
Mott Hyde, 2170022, SS|UT
Ben Ross, 29075474, SS|UT
Jose Bonilla, 26615354, SS|UT
Jacob Heatherly, 2836975, P
Eduardo Torrealba, 2826267, SS|UT
Brenan Hanifee, 2920352, P
James Reeves, 2699437, P
Leandro Emiliani, 29086775, 1B|UT
Avain Rachal, 2171853, 1B|UT
Cam Gibson, 2222108, OF|UT
Yoel Mecias, 2167301, P
Camden Duzenack, 2836833, SS|UT
Charles Mack, 2932896, 3B|UT
J.D. Gonzalez, 29321940, C|UT
Logan Moon, 2226174, OF|UT
Mitchell Kilkenny, 2931979, P
Alonzo Tredwell, 29295965, P
Charles King, 29678054, P
Jackson Baumeister, 29295944, P
Gabriel Mejia, 2211772, OF|UT
Joey Wong, 2050364, SS|UT
Ty Floyd, 29155735, P
Jeremy Celedonio, 29086100, OF|UT
Nick Lucky, 29676693, 2B|UT
Ross Carver, 29077349, P
Stephen Ridings, 26724489, P
Peyton Stovall, 29662167, 2B|UT
Logan Sendelbach, 2915788, P
Dylan File, 2836866, P
Michael Barash, 2663786, C|UT
Mario Sanchez, 2825737, P
Juan Silverio, 1741007, SS|UT
Jordan DiValerio, 29092495, P
Grant Taylor, 29295953, P
Wil Jensen, 29085461, P
John Aiello, 2932588, 3B|UT
Nelson Rada, 29077670, OF|UT
Keshawn Ogans, 29086258, SS|UT
Hunter Gregory, 29678299, P
David Sandlin, 29295959, P
Javeon Cody, 28843165, OF|UT
Beau Sulser, 2837579, P
Ed Howard, 26615343, SS|UT
Fernando Perez, 2167342, 2B|UT
Juan Montero, 29687767, C|UT
Cole Billingsley, 3107625, OF|UT
Miles Gordon, 2915694, OF|UT
Ike Buxton, 29295976, P
Patrick Cantwell, 2118804, C|UT
Gerson Montilla, 2118829, 2B|UT
Alex Destino, 2836803, OF|UT
Hirotoshi Onaka, 2049020, OF|UT
Jared Mckenzie, 29077343, OF|UT
Matthew Olsen, 29085462, P
Kris Hall, 2121511, P
Harrison Cohen, 29087619, P
Derek Molina, 2837251, P
Wade Kirkland, 2170514, 2B|UT
Nick Quintana, 3157902, 3B|UT
Madison Stokes, 2933126, SS|UT
Ashton Creal, 28843013, OF|UT
Pedro Garcia, 28839286, P
Anders Tolhurst, 29355117, P
DJ Layton, 29644436, SS|UT
Gustavo Campero, 2829874, OF|UT
Eric Marinez, 2824081, 3B|UT
Hueston Morrill, 29686866, P
Zak Kent, 28843019, P
Eddie Park, 29686888, OF|UT
Zach Sullivan, 2797627, OF|UT
Tyreque Reed, 2837379, 1B|UT
Izzy Wilson, 2826646, OF|UT
Tyler Massey, 2119562, OF|UT
Brad Wilson, 2933201, P
Josh Hood, 29087229, SS|UT
Adam Crampton, 29089620, SS|UT
Jonathan Jones, 1963304, OF|UT
Trey Martin, 1963329, OF|UT
Kleimir Lemos, 29686707, SS|UT
Jordan Nwogu, 26615375, OF|UT
Edwin Quirarte, 2049202, P
Joey Mancini, 29675769, P
Hector Perez, 2825032, P
Aaron Bracho, 3152045, 2B|UT
Galli Cribbs, 2822161, 2B|UT
Hunter Stratton, 2837572, P
Troy Melton, 29075780, P
Jacob Latz, 2837111, P
Francisco Vilorio, 29662265, OF|UT
Jancarlos Cintron, 2836720, 2B|UT
Ty Tice, 2837603, P
Mark Peterson, 2791773, P
Jon Olczak, 2775274, P
Ryan Loutos, 29077088, P
Jeff Roy, 2118822, OF|UT
J.R. Freethy, 29687806, OF|UT
Bubba Hollins, 2869879, 3B|UT
Jaxon Wiggins, 29295952, P
Elmer Rodriguez-Cruz, 29077341, P
Luis De Leon, 29321915, P
Jesus Chirinos, 29349530, 1B|UT
Trace Loehr, 3157957, SS|UT
Michael Matuella, 2805122, P
Jonathan Martinez, 2743625, P
Daniel Cabrera, 2836683, OF|UT
Carlos Rivero, 3107590, 2B|UT
Stone Russell, 29681325, 3B|UT
Michael Paez, 2772289, SS|UT
Patrick Lee, 29676692, OF|UT
Trent Toplikar, 28838891, P
Andretty Cordero, 2822098, UT
Andro Cutura, 3158009, P
Ryan Forcucci, 29644470, P
Jean Ramirez, 29085463, OF|UT
Tyler Schimpf, 2837477, P
Hayden Juenger, 29077342, P
Jacob Dorris, 2804918, P
Stephen Perez, 2119569, SS|UT
Tyler McDonough, 26911707, OF|UT
Nick Northcut, 26615342, 3B|UT
Francisco Urbaez, 28838892, 3B|UT
Wilmer Dominguez, 2227754, C|UT
Kobe Kato, 29676691, 2B|UT
Austin St. Laurent, 29687810, 3B|UT
Tyler Warmoth, 2826559, P
Omar Martinez, 29087584, C|UT
Devereaux Harrison, 29342271, P
Chandler Redmond, 29091598, 2B|UT
Bobby Bundy, 1971218, P
Rando Moreno, 2120673, SS|UT
Jorge Juan, 26861437, P
Ralphy Velazquez, 29157419, 1B|UT
Adrian Bohorquez, 29662209, P
Ryan Jensen, 3117927, P
Ryan Sublette, 29675170, P
Sam Knowlton, 29680520, P
Juan Encarnacion, 29344238, P
Maxwell Romero, 29086295, C|UT
Michael Trautwein, 29087687, C|UT
Victor Labrada, 28842467, OF|UT
Luke Holman, 29632448, P
Todd Peterson, 26635158, P
Ryan Dent, 1670386, 2B|UT
Jacob Sharp, 29674816, C|UT
Andrew Moritz, 2932959, OF|UT
Michael Darrell-Hicks, 29342245, P
Devin Mann, 2932907, 1B|UT
Ordomar Valdez, 2120407, 2B|UT
Connor Gillispie, 29342264, P
Nick Pasquale, 2760035, P
Jonathan Maciel, 2227624, P
Randolph Oduber, 1954848, OF|UT
Seth Nordlin, 2837298, P
Termarr Johnson, 28920007, 2B|UT
Zacrey Law, 2228205, OF|UT
Liam Hicks, 29329516, C|UT
Edwin Arroyo, 26911686, SS|UT
Sean Miller, 2915539, SS|UT
Abraham Gutierrez, 3077691, C|UT
George Feliz, 26913039, OF|UT
Reshard Munroe, 2824604, OF|UT
Branden Boissiere, 26911668, 1B|UT
Terry Fuller, 2836888, OF|UT
Ryan Harbin, 29681723, P
Gabriel Agostini, 29085018, P
Daniel Amaral, 2932597, OF|UT
Heath Quinn, 2507193, OF|UT
Garrett Hawkins, 29075689, P
Tucker Bradley, 26913032, OF|UT
Kevin Lenik, 2823840, P
Tristan Gray, 2836936, 1B|UT
Derek Diamond, 29681722, P
Luis Villegas, 2826513, C|UT
Cameron Cannon, 3152106, 2B|UT
Jake Wong, 2933210, P
Zac Leigh, 29360036, P
Jonathan Schwind, 2120733, C|UT
Donovan Walton, 2756827, 2B|UT
Luis Bolivar, 26913031, OF|UT
Kyle Whitten, 29091138, P
Jonathan Bermudez, 26861422, P
Ryan Moseley, 2915820, P
Willy Collado, 2822051, P
William Fleming, 29342256, P
Todd Van Steensel, 2826409, P
Mike Sirota, 29662202, OF|UT
Kevin Taylor, 2772290, 2B|UT
Jordan Brown, 28842636, SS|UT
Jonah Davis, 2932679, OF|UT
Bennett Hostetler, 29342279, SS|UT
Kevin Gowdy, 2453277, P
Juan Uriarte, 2826352, C|UT
Justin Hagenman, 28838087, P
Tyler Alamo, 2921051, 1B|UT
Mike Walsh, 29679429, P
Cade Doughty, 29075498, 2B|UT
Jeff Malm, 1959092, 1B|UT
Alberto Hernandez, 29342273, SS|UT
Slade Smith, 2121500, P
Francisco Jimenez, 2823569, P
Eric Pardinho, 3077728, P
Jadiel Sanchez, 28840774, OF|UT
J.C. Rodriguez, 2774626, 2B|UT
Zack Coppola, 2915532, OF|UT
Taylor Kohlwey, 2792433, OF|UT
Alejandro Hidalgo, 26913412, P
Luis Suisbel, 29322028, 3B|UT
Franklin Sanchez, 29087648, P
Tanner Chleborad, 2822005, P
Ruben Castro, 2921389, C|UT
Erik Forgione, 2228477, 2B|UT
Eiberson Castellano, 29631481, P
Jose Disla, 3108526, P
Andrew Salas, 29669164, SS|UT
Carmen Benedetti, 3094352, 1B|UT
Wilkerman Garcia, 2211765, SS|UT
Junior Tilien, 29087200, SS|UT
Jansel Luis, 29321978, SS|UT
Humberto Cruz, 29660655, P
Samuel Reyes, 2829117, P
Luis Guerrero, 29089609, P
Ewry Espinal, 29090977, 1B|UT
Matt Lloyd, 28841049, OF|UT
PK Morris, 29088705, 1B|UT
Brody Moore, 29342314, 2B|UT
Jimmy Robbins, 29079727, P
Parker Mushinski, 2837276, P
Keith Curcio, 2170372, OF|UT
Nick Additon, 2117347, P
Adam Miller, 2218317, P
Cole Brannen, 3094393, OF|UT
Collin Radack, 2171698, OF|UT
Carson Rudd, 29342335, P
Aiden May, 29644483, P
Jordany Ventura, 26615428, P
Alec Baker, 29343001, P
Walbert Urena, 29077682, P
Michael Petersen, 29385927, P
Casey Soltis, 2167458, OF|UT
Jackson Goddard, 2932766, P
Trey Yesavage, 29426049, P
Ali Sanchez, 2766203, C|UT
Steven Klimek, 2918656, P
Callan Moss, 29692350, 1B|UT
Josh Stowers, 2932053, OF|UT
Austin Ross, 2170572, P
Josh Randall, 29644489, P
Simon Juan, 29077681, OF|UT
Jeral Perez, 29351815, 2B|UT
Evan Skoug, 2837514, C|UT
James Tibbs, 29426042, OF|UT
Willy Fanas, 29077683, OF|UT
Wilfred Astudillo, 2828964, C|UT
Cole Urman, 29687798, C|UT
Gareth Morgan, 2167508, OF|UT
Kade Kern, 29342651, OF|UT
Jesus Zambrano, 2826713, P
Stephen McGee, 2165524, C|UT
Deion Walker, 28843228, OF|UT
Josh Hatcher, 2836969, OF|UT
Braden Montgomery, 29426041, OF|UT
Nathan Martorella, 29075745, 1B|UT
Robbie Glendinning, 2921564, SS|UT
Arxy Hernandez, 29687330, 3B|UT
Seth Stephenson, 29086260, OF|UT
Jake Polancic, 29342652, P
Blake Larson, 29644481, P
Yendry Rojas, 29077689, 3B|UT
Brandon Butterworth, 29676028, SS|UT
Mark Coley II, 29350507, OF|UT
Anfernee Benitez, 2821521, P
Ryan Clifford, 29075764, 1B|UT
Rickardo Perez, 26643919, 1B|UT
Wes Benjamin, 2804515, P
Austin Roberts, 28840658, P
Tanner McDougal, 26911759, P
Jake Skole, 1757991, OF|UT
Williams Ramirez, 2915913, P
Stiven Martinez, 29660110, OF|UT
Rhylan Thomas, 29086444, OF|UT
Avery Short, 29675845, P
Graysen Tarlow, 29692327, C|UT
Jack Weisenburger, 26911776, P
Edgar Alvarez, 29683090, 1B|UT
Andry Lara, 26913413, P
Silas Ardoin, 29075772, C|UT
Anthony Ray, 2171336, OF|UT
Stephen Woods, 3152270, P
Robbie Tenerowicz, 2921501, 2B|UT
Julian Escobedo, 28840981, OF|UT
Wander Perez, 2804726, P
Christian Cairo, 28838298, SS|UT
Rainier Rivas, 28838048, OF|UT
Carlos Linarez, 29089885, C|UT
Jonathan Teaney, 2837594, P
Alex Monsalve, 2171425, C|UT
Yoelqui Cespedes, 26643913, OF|UT
Ryan Campos, 29644417, C|UT
Anthony Miller, 2228434, 1B|UT
Yohandy Morales, 29295897, 1B|UT
Orlando Ribalta, 29085043, P
Yunior Severino, 2830260, 1B|UT
Sahid Valenzuela, 28842428, SS|UT
Coleman Crow, 29075508, P
Felix Arronde, 29660106, P
Osiel Rodriguez, 29087626, P
Anthony Gallas, 2050951, OF|UT
Juaron Watts-Brown, 29322046, P
Gerald Ogando, 2860171, P
Zach Lovvorn, 3077306, P
Anderson Green, 2823102, SS|UT
Hayden Alvarez, 29662257, OF|UT
Jiwan James, 1955137, OF|UT
Will Kincanon, 2837077, P
Yemal Flores, 28846884, OF|UT
Jordan Thompson, 29682095, SS|UT
Will Schomberg, 29676055, P
Eric Karch, 2823651, P
Luis Rodriguez, 2825537, OF|UT
Garrett Martin, 29681943, OF|UT
Roderick Arias, 28839805, SS|UT
Shay Schanaman, 29676703, P
Ismael Munguia, 2824593, OF|UT
Seth Elledge, 2836839, P
Hunter Stanley, 29085049, P
Adam Lau, 2915588, P
Andrew Morales, 2824513, P
Brady Feigl, 2167326, P
Maddux Houghton, 29342280, OF|UT
Francisco Morales, 2911280, P
Harrison Kreiling, 29677762, P
Mason Smith, 2121347, OF|UT
Rob Kaminsky, 2066310, P
Matt Scheffler, 29079966, C|UT
Micah Gibbs, 1952346, C|UT
Alvaro Rubalcaba, 3107129, 2B|UT
Jose Salvador, 26615446, P
Gustavo Armas, 3095686, P
Josh Richmond, 1961065, OF|UT
Keythel Key, 29677761, P
Joander Suarez, 26912488, P
Anthony Maldonado, 29084245, P
Logan Landon, 2227765, OF|UT
Drew Carlton, 2836695, P
Joel Diaz, 26912466, P
Ivan Brethowr, 29675181, OF|UT
Johnny Adams, 2836520, SS|UT
Bryce Denton, 2447493, OF|UT
Jeremy de la Rosa, 3158359, OF|UT
Aldrin Batista, 29321888, P
Luke Mann, 29348838, 3B|UT
Ricardo Gonzalez, 29686650, 2B|UT
Ian Sagdal, 2750020, 2B|UT
Trent Woodward, 2224253, C|UT
Matt Alvarez, 2227176, P
Angel Ortiz, 29677763, OF|UT
Mike Ahmed, 2227130, 3B|UT
Evan Elliott, 28846905, P
Tyler Myrick, 29089644, P
Ramon Mendoza, 28846858, 1B|UT
Fernery Ozuna, 2171203, P
Duke Ellis, 2836841, OF|UT
Alexander Ramirez, 3151954, OF|UT
C.D. Pelham, 2920592, P
Carlos Jimenez, 29662334, OF|UT
Will Bush, 29676046, C|UT
Bryan Evans, 2117050, P
Will Swanner, 2050583, C|UT
Hendrik Clementina, 2822030, C|UT
Dean Nevarez, 3083968, C|UT
Brett Wellman, 2226848, C|UT
Chandler Pollard, 29686697, OF|UT
Reggie Pruitt, 2910619, OF|UT
Todd Hankins, 2051178, 2B|UT
Eric Yang, 3152037, C|UT
Dante Bichette, 1910544, 3B|UT
Jeffry Antigua, 2052633, P
Yohanse Morel, 2931289, P
Yasiel Balaguert, 2050879, 1B|UT
Adrian Placencia, 26912515, SS|UT
Stiward Aquino, 2830089, P
Jacob Wallace, 26615455, P
Matt Fraizer, 26747026, OF|UT
Conrad Gregor, 2791373, 1B|UT
Bryan Rincon, 29088880, SS|UT
Braeden Ogle, 3166984, P
Johan Lopez, 2829056, SS|UT
Ryan Ward, 28840234, OF|UT
Eric Brown, 28920030, SS|UT
Jose Nin, 3108246, P
Brett Squires, 29345798, 1B|UT
Stefan Raeth, 29085041, P
Nelson Jorge, 2740417, 2B|UT
Terry McClure, 2228218, OF|UT
Jairo Rosario, 2218074, C|UT
Tyler Ramirez, 2803486, OF|UT
Sam McMillan, 2837211, C|UT
Alan Garcia, 2804030, P
Simon Rodriguez, 29087232, OF|UT
Rikuu Nishida, 29679382, OF|UT
Wyatt Hoffman, 28843017, SS|UT
Jhonny Level, 29662408, SS|UT
Matt Jones, 2227218, OF|UT
Tyler Waldron, 2120588, P
Reid Humphreys, 26615463, P
Jheremy Vargas, 26912854, OF|UT
TT Bowens, 29087617, 1B|UT
John Matthews, 29087231, P
Alexander Ovalles, 29087925, OF|UT
Gray Fenter, 3152059, P
Chase Valentine, 29091315, SS|UT
Easton Lucas, 29084554, P
Wendolyn Bautista, 2804234, P
Gabe Snyder, 3157903, 1B|UT
Daniel Eagen, 29644426, P
Argenis Angulo, 2821257, P
Austin Deming, 29685406, 3B|UT
Drew Swift, 26912449, 3B|UT
Samuel Munoz, 29321994, OF|UT
Wander Arias, 29687309, P
Jhalan Jackson, 2211760, OF|UT
Romeo Sanabria, 29632436, 1B|UT
Gabriel Sosa, 29678297, P
Jalen Battles, 29678047, SS|UT
Blake Wolters, 29295957, P
Natanael Yuten, 29687769, OF|UT
Trenton Denholm, 2836802, P
Andrew Church, 2066814, P
Anthony Donofrio, 29677755, OF|UT
Thomas Jones, 3077698, OF|UT
Victor Mateo, 1963323, P
Marcus Johnson, 29077347, P
Troy Watson, 2933189, P
Joey DeMichele, 2044488, 2B|UT
Jesse Franklin, 2836881, OF|UT
Jordan Viars, 26911702, OF|UT
Carson Tucker, 26615347, 2B|UT
Drake Fellows, 29687763, P
Jacob Reimer, 29075706, 3B|UT
Daiverson Gutierrez, 29644247, C|UT
Mikey Perez, 29084395, SS|UT
Angel Rosa, 2121482, SS|UT
Jace Grady, 29350953, OF|UT
Viandel Pena, 2931295, 2B|UT
Zach Linginfelter, 2932878, P
Bud Jeter, 2804510, P
Tyler Higgins, 2223332, P
Lonnie White, 26911709, OF|UT
Rafael Pineda, 2226608, P
Jose Oyervidez, 1099043, P
Nick Raquet, 2837373, P
Jason Hagerty, 1793608, C|UT
Blake Wright, 29676115, SS|UT
Michael Medina, 2171420, OF|UT
Jared James, 2823528, OF|UT
Patrick Romeri, 26911703, OF|UT
Tyler Cropley, 2932665, C|UT
Bryant Packard, 3152052, OF|UT
Carlos Garcia, 28838274, P
Tristan Smith, 29644496, P
Kalian Sams, 1741766, OF|UT
Drew Gray, 29075525, P
Alfredo Duno, 29321924, C|UT
Nate Mondou, 2921058, 2B|UT
Brandyn Garcia, 29344255, P
Tyler Davis, 2227794, P
Jin-De Jhang, 1961786, C|UT
Christian Little, 29676355, P
Josiah Sightler, 2933101, 1B|UT
Dillan Shrum, 29089060, 1B|UT
Tony Dibrell, 2836809, P
Zack Draper, 2836824, P
